number,subject,light,location,time,exif,original_path,expert0_path,expert1_path,expert2_path,expert3_path,expert4_path
0011,nature,sun or sky,outdoors,day,NIKON D70s 48mm F/5.6 1/250 ISO200 6.0MP,/home/iacv3_1/fivek/original/10.png,/home/iacv3_1/fivek/expert0/10.png,/home/iacv3_1/fivek/expert1/10.png,/home/iacv3_1/fivek/expert2/10.png,/home/iacv3_1/fivek/expert3/10.png,/home/iacv3_1/fivek/expert4/10.png
0012,man-made object,sun or sky,outdoors,day,Canon EOS 20D F/11.0 1/160 ISO100 8.2MP,/home/iacv3_1/fivek/original/11.png,/home/iacv3_1/fivek/expert0/11.png,/home/iacv3_1/fivek/expert1/11.png,/home/iacv3_1/fivek/expert2/11.png,/home/iacv3_1/fivek/expert3/11.png,/home/iacv3_1/fivek/expert4/11.png
0013,person(s),sun or sky,outdoors,day,Canon EOS D60 F/4.5 1/125 ISO100 6.3MP,/home/iacv3_1/fivek/original/12.png,/home/iacv3_1/fivek/expert0/12.png,/home/iacv3_1/fivek/expert1/12.png,/home/iacv3_1/fivek/expert2/12.png,/home/iacv3_1/fivek/expert3/12.png,/home/iacv3_1/fivek/expert4/12.png
0014,animal(s),sun or sky,outdoors,day,Canon EOS DIGITAL REBEL F/7.1 1/250 ISO400 6.3MP,/home/iacv3_1/fivek/original/13.png,/home/iacv3_1/fivek/expert0/13.png,/home/iacv3_1/fivek/expert1/13.png,/home/iacv3_1/fivek/expert2/13.png,/home/iacv3_1/fivek/expert3/13.png,/home/iacv3_1/fivek/expert4/13.png
0015,person(s),sun or sky,outdoors,day,NIKON D70s 75mm F/8.0 1/750 ISO200 6.0MP,/home/iacv3_1/fivek/original/14.png,/home/iacv3_1/fivek/expert0/14.png,/home/iacv3_1/fivek/expert1/14.png,/home/iacv3_1/fivek/expert2/14.png,/home/iacv3_1/fivek/expert3/14.png,/home/iacv3_1/fivek/expert4/14.png
0016,man-made object,sun or sky,outdoors,day,Canon EOS 5D F/11.0 1/320 ISO400 12.7MP,/home/iacv3_1/fivek/original/15.png,/home/iacv3_1/fivek/expert0/15.png,/home/iacv3_1/fivek/expert1/15.png,/home/iacv3_1/fivek/expert2/15.png,/home/iacv3_1/fivek/expert3/15.png,/home/iacv3_1/fivek/expert4/15.png
0017,man-made object,sun or sky,outdoors,day,Canon EOS 20D F/4.0 1/100 ISO800 8.2MP,/home/iacv3_1/fivek/original/16.png,/home/iacv3_1/fivek/expert0/16.png,/home/iacv3_1/fivek/expert1/16.png,/home/iacv3_1/fivek/expert2/16.png,/home/iacv3_1/fivek/expert3/16.png,/home/iacv3_1/fivek/expert4/16.png
0018,nature,sun or sky,outdoors,day,Canon EOS 20D F/8.0 1/250 ISO100 8.2MP,/home/iacv3_1/fivek/original/17.png,/home/iacv3_1/fivek/expert0/17.png,/home/iacv3_1/fivek/expert1/17.png,/home/iacv3_1/fivek/expert2/17.png,/home/iacv3_1/fivek/expert3/17.png,/home/iacv3_1/fivek/expert4/17.png
0019,man-made object,artificial,indoors,unknown,Canon EOS 5D F/2.8 1/6 ISO800 12.7MP,/home/iacv3_1/fivek/original/18.png,/home/iacv3_1/fivek/expert0/18.png,/home/iacv3_1/fivek/expert1/18.png,/home/iacv3_1/fivek/expert2/18.png,/home/iacv3_1/fivek/expert3/18.png,/home/iacv3_1/fivek/expert4/18.png
0020,nature,sun or sky,outdoors,day,Canon EOS 5D F/11.0 1/320 ISO400 12.7MP,/home/iacv3_1/fivek/original/19.png,/home/iacv3_1/fivek/expert0/19.png,/home/iacv3_1/fivek/expert1/19.png,/home/iacv3_1/fivek/expert2/19.png,/home/iacv3_1/fivek/expert3/19.png,/home/iacv3_1/fivek/expert4/19.png
0021,man-made object,sun or sky,outdoors,day,Canon EOS 5D F/14.0 1/60 ISO250 12.7MP,/home/iacv3_1/fivek/original/20.png,/home/iacv3_1/fivek/expert0/20.png,/home/iacv3_1/fivek/expert1/20.png,/home/iacv3_1/fivek/expert2/20.png,/home/iacv3_1/fivek/expert3/20.png,/home/iacv3_1/fivek/expert4/20.png
0022,man-made object,artificial,indoors,unknown,Canon EOS DIGITAL REBEL XSi F/2.8 1/200 ISO800 12.2MP,/home/iacv3_1/fivek/original/21.png,/home/iacv3_1/fivek/expert0/21.png,/home/iacv3_1/fivek/expert1/21.png,/home/iacv3_1/fivek/expert2/21.png,/home/iacv3_1/fivek/expert3/21.png,/home/iacv3_1/fivek/expert4/21.png
0023,person(s),artificial,indoors,unknown,Canon EOS 5D F/4.0 1/60 ISO1000 12.7MP,/home/iacv3_1/fivek/original/22.png,/home/iacv3_1/fivek/expert0/22.png,/home/iacv3_1/fivek/expert1/22.png,/home/iacv3_1/fivek/expert2/22.png,/home/iacv3_1/fivek/expert3/22.png,/home/iacv3_1/fivek/expert4/22.png
0024,man-made object,sun or sky,outdoors,day,NIKON D700 50mm F/5.6 1/200 ISO200 12.1MP,/home/iacv3_1/fivek/original/23.png,/home/iacv3_1/fivek/expert0/23.png,/home/iacv3_1/fivek/expert1/23.png,/home/iacv3_1/fivek/expert2/23.png,/home/iacv3_1/fivek/expert3/23.png,/home/iacv3_1/fivek/expert4/23.png
0025,man-made object,sun or sky,outdoors,day,DCS460D         FILE VERSION 3 F/4.0 1/320 ISO80 6.2MP,/home/iacv3_1/fivek/original/24.png,/home/iacv3_1/fivek/expert0/24.png,/home/iacv3_1/fivek/expert1/24.png,/home/iacv3_1/fivek/expert2/24.png,/home/iacv3_1/fivek/expert3/24.png,/home/iacv3_1/fivek/expert4/24.png
0026,man-made object,mixed,outdoors,unknown,Canon EOS 20D F/2.8 1/10 ISO100 8.2MP,/home/iacv3_1/fivek/original/25.png,/home/iacv3_1/fivek/expert0/25.png,/home/iacv3_1/fivek/expert1/25.png,/home/iacv3_1/fivek/expert2/25.png,/home/iacv3_1/fivek/expert3/25.png,/home/iacv3_1/fivek/expert4/25.png
0027,person(s),sun or sky,outdoors,day,Canon EOS DIGITAL REBEL XSi F/2.8 1/80 ISO200 12.2MP,/home/iacv3_1/fivek/original/26.png,/home/iacv3_1/fivek/expert0/26.png,/home/iacv3_1/fivek/expert1/26.png,/home/iacv3_1/fivek/expert2/26.png,/home/iacv3_1/fivek/expert3/26.png,/home/iacv3_1/fivek/expert4/26.png
0028,animal(s),sun or sky,outdoors,day,NIKON D70s 75mm F/1.4 1/2000 ISO200 6.0MP,/home/iacv3_1/fivek/original/27.png,/home/iacv3_1/fivek/expert0/27.png,/home/iacv3_1/fivek/expert1/27.png,/home/iacv3_1/fivek/expert2/27.png,/home/iacv3_1/fivek/expert3/27.png,/home/iacv3_1/fivek/expert4/27.png
0029,man-made object,sun or sky,outdoors,day,NIKON D70 36mm F/10.0 1/250 ISO200 6.0MP,/home/iacv3_1/fivek/original/28.png,/home/iacv3_1/fivek/expert0/28.png,/home/iacv3_1/fivek/expert1/28.png,/home/iacv3_1/fivek/expert2/28.png,/home/iacv3_1/fivek/expert3/28.png,/home/iacv3_1/fivek/expert4/28.png
0030,man-made object,sun or sky,outdoors,day,Canon EOS 5D F/11.0 1/160 ISO100 12.7MP,/home/iacv3_1/fivek/original/29.png,/home/iacv3_1/fivek/expert0/29.png,/home/iacv3_1/fivek/expert1/29.png,/home/iacv3_1/fivek/expert2/29.png,/home/iacv3_1/fivek/expert3/29.png,/home/iacv3_1/fivek/expert4/29.png
0031,person(s),sun or sky,outdoors,day,Canon EOS 10D F/4.0 1/45 ISO400 6.3MP,/home/iacv3_1/fivek/original/30.png,/home/iacv3_1/fivek/expert0/30.png,/home/iacv3_1/fivek/expert1/30.png,/home/iacv3_1/fivek/expert2/30.png,/home/iacv3_1/fivek/expert3/30.png,/home/iacv3_1/fivek/expert4/30.png
0032,man-made object,sun or sky,outdoors,dawn or dusk,Canon EOS 5D F/10.0 1/400 ISO320 12.7MP,/home/iacv3_1/fivek/original/31.png,/home/iacv3_1/fivek/expert0/31.png,/home/iacv3_1/fivek/expert1/31.png,/home/iacv3_1/fivek/expert2/31.png,/home/iacv3_1/fivek/expert3/31.png,/home/iacv3_1/fivek/expert4/31.png
0033,person(s),artificial,indoors,day,NIKON D70 52mm F/4.2 1/15 ISO200 6.0MP,/home/iacv3_1/fivek/original/32.png,/home/iacv3_1/fivek/expert0/32.png,/home/iacv3_1/fivek/expert1/32.png,/home/iacv3_1/fivek/expert2/32.png,/home/iacv3_1/fivek/expert3/32.png,/home/iacv3_1/fivek/expert4/32.png
0034,nature,sun or sky,outdoors,day,Canon EOS-1Ds Mark II F/16.0 1/50 ISO200 16.6MP,/home/iacv3_1/fivek/original/33.png,/home/iacv3_1/fivek/expert0/33.png,/home/iacv3_1/fivek/expert1/33.png,/home/iacv3_1/fivek/expert2/33.png,/home/iacv3_1/fivek/expert3/33.png,/home/iacv3_1/fivek/expert4/33.png
0035,man-made object,sun or sky,outdoors,day,NIKON D700 50mm F/3.5 1/500 ISO200 12.1MP,/home/iacv3_1/fivek/original/34.png,/home/iacv3_1/fivek/expert0/34.png,/home/iacv3_1/fivek/expert1/34.png,/home/iacv3_1/fivek/expert2/34.png,/home/iacv3_1/fivek/expert3/34.png,/home/iacv3_1/fivek/expert4/34.png
0036,man-made object,sun or sky,outdoors,day,Canon EOS 30D F/10.0 1/200 ISO100 8.2MP,/home/iacv3_1/fivek/original/35.png,/home/iacv3_1/fivek/expert0/35.png,/home/iacv3_1/fivek/expert1/35.png,/home/iacv3_1/fivek/expert2/35.png,/home/iacv3_1/fivek/expert3/35.png,/home/iacv3_1/fivek/expert4/35.png
0037,man-made object,sun or sky,outdoors,day,FinePixS2Pro 1/125 ISO100 12.1MP,/home/iacv3_1/fivek/original/36.png,/home/iacv3_1/fivek/expert0/36.png,/home/iacv3_1/fivek/expert1/36.png,/home/iacv3_1/fivek/expert2/36.png,/home/iacv3_1/fivek/expert3/36.png,/home/iacv3_1/fivek/expert4/36.png
0038,person(s),sun or sky,outdoors,day,Canon EOS 5D F/6.3 1/125 ISO250 12.7MP,/home/iacv3_1/fivek/original/37.png,/home/iacv3_1/fivek/expert0/37.png,/home/iacv3_1/fivek/expert1/37.png,/home/iacv3_1/fivek/expert2/37.png,/home/iacv3_1/fivek/expert3/37.png,/home/iacv3_1/fivek/expert4/37.png
0039,man-made object,sun or sky,outdoors,day,NIKON D70 36mm F/5.6 1/125 ISO200 6.0MP,/home/iacv3_1/fivek/original/38.png,/home/iacv3_1/fivek/expert0/38.png,/home/iacv3_1/fivek/expert1/38.png,/home/iacv3_1/fivek/expert2/38.png,/home/iacv3_1/fivek/expert3/38.png,/home/iacv3_1/fivek/expert4/38.png
0040,man-made object,sun or sky,outdoors,day,NIKON D700 20mm F/11.0 1/100 ISO250 12.1MP,/home/iacv3_1/fivek/original/39.png,/home/iacv3_1/fivek/expert0/39.png,/home/iacv3_1/fivek/expert1/39.png,/home/iacv3_1/fivek/expert2/39.png,/home/iacv3_1/fivek/expert3/39.png,/home/iacv3_1/fivek/expert4/39.png
0041,nature,sun or sky,outdoors,day,Canon EOS DIGITAL REBEL XSi F/6.3 1/1600 ISO100 12.2MP,/home/iacv3_1/fivek/original/40.png,/home/iacv3_1/fivek/expert0/40.png,/home/iacv3_1/fivek/expert1/40.png,/home/iacv3_1/fivek/expert2/40.png,/home/iacv3_1/fivek/expert3/40.png,/home/iacv3_1/fivek/expert4/40.png
0042,animal(s),sun or sky,outdoors,day,Canon EOS 5D F/16.0 1/125 ISO1600 12.7MP,/home/iacv3_1/fivek/original/41.png,/home/iacv3_1/fivek/expert0/41.png,/home/iacv3_1/fivek/expert1/41.png,/home/iacv3_1/fivek/expert2/41.png,/home/iacv3_1/fivek/expert3/41.png,/home/iacv3_1/fivek/expert4/41.png
0043,man-made object,artificial,indoors,day,Canon EOS 5D F/4.0 1/50 ISO800 12.7MP,/home/iacv3_1/fivek/original/42.png,/home/iacv3_1/fivek/expert0/42.png,/home/iacv3_1/fivek/expert1/42.png,/home/iacv3_1/fivek/expert2/42.png,/home/iacv3_1/fivek/expert3/42.png,/home/iacv3_1/fivek/expert4/42.png
0044,animal(s),sun or sky,outdoors,day,Canon EOS-1D Mark II F/14.0 1/800 ISO400 8.2MP,/home/iacv3_1/fivek/original/43.png,/home/iacv3_1/fivek/expert0/43.png,/home/iacv3_1/fivek/expert1/43.png,/home/iacv3_1/fivek/expert2/43.png,/home/iacv3_1/fivek/expert3/43.png,/home/iacv3_1/fivek/expert4/43.png
0045,nature,sun or sky,outdoors,day,Canon EOS-1D Mark II F/16.0 1/125 ISO200 8.2MP,/home/iacv3_1/fivek/original/44.png,/home/iacv3_1/fivek/expert0/44.png,/home/iacv3_1/fivek/expert1/44.png,/home/iacv3_1/fivek/expert2/44.png,/home/iacv3_1/fivek/expert3/44.png,/home/iacv3_1/fivek/expert4/44.png
0046,man-made object,sun or sky,outdoors,day,NIKON D700 50mm F/7.1 1/200 ISO200 12.1MP,/home/iacv3_1/fivek/original/45.png,/home/iacv3_1/fivek/expert0/45.png,/home/iacv3_1/fivek/expert1/45.png,/home/iacv3_1/fivek/expert2/45.png,/home/iacv3_1/fivek/expert3/45.png,/home/iacv3_1/fivek/expert4/45.png
0047,person(s),artificial,indoors,unknown,Canon EOS 5D F/6.3 1/3 ISO800 12.7MP,/home/iacv3_1/fivek/original/46.png,/home/iacv3_1/fivek/expert0/46.png,/home/iacv3_1/fivek/expert1/46.png,/home/iacv3_1/fivek/expert2/46.png,/home/iacv3_1/fivek/expert3/46.png,/home/iacv3_1/fivek/expert4/46.png
0048,man-made object,sun or sky,outdoors,day,Canon EOS 40D F/4.0 1/250 ISO100 10.1MP,/home/iacv3_1/fivek/original/47.png,/home/iacv3_1/fivek/expert0/47.png,/home/iacv3_1/fivek/expert1/47.png,/home/iacv3_1/fivek/expert2/47.png,/home/iacv3_1/fivek/expert3/47.png,/home/iacv3_1/fivek/expert4/47.png
0049,person(s),artificial,indoors,unknown,Canon EOS-1D Mark II F/4.0 1/400 ISO1600 8.2MP,/home/iacv3_1/fivek/original/48.png,/home/iacv3_1/fivek/expert0/48.png,/home/iacv3_1/fivek/expert1/48.png,/home/iacv3_1/fivek/expert2/48.png,/home/iacv3_1/fivek/expert3/48.png,/home/iacv3_1/fivek/expert4/48.png
0050,nature,sun or sky,outdoors,day,NIKON D70s 63mm F/5.3 1/125 ISO1250 6.0MP,/home/iacv3_1/fivek/original/49.png,/home/iacv3_1/fivek/expert0/49.png,/home/iacv3_1/fivek/expert1/49.png,/home/iacv3_1/fivek/expert2/49.png,/home/iacv3_1/fivek/expert3/49.png,/home/iacv3_1/fivek/expert4/49.png
0051,person(s),sun or sky,outdoors,day,Canon EOS 10D F/6.7 1/180 ISO400 6.3MP,/home/iacv3_1/fivek/original/50.png,/home/iacv3_1/fivek/expert0/50.png,/home/iacv3_1/fivek/expert1/50.png,/home/iacv3_1/fivek/expert2/50.png,/home/iacv3_1/fivek/expert3/50.png,/home/iacv3_1/fivek/expert4/50.png
0052,man-made object,sun or sky,outdoors,day,NIKON D700 50mm F/7.1 1/200 ISO250 12.1MP,/home/iacv3_1/fivek/original/51.png,/home/iacv3_1/fivek/expert0/51.png,/home/iacv3_1/fivek/expert1/51.png,/home/iacv3_1/fivek/expert2/51.png,/home/iacv3_1/fivek/expert3/51.png,/home/iacv3_1/fivek/expert4/51.png
0053,man-made object,sun or sky,outdoors,day,Canon EOS 40D F/5.6 1/500 ISO100 10.1MP,/home/iacv3_1/fivek/original/52.png,/home/iacv3_1/fivek/expert0/52.png,/home/iacv3_1/fivek/expert1/52.png,/home/iacv3_1/fivek/expert2/52.png,/home/iacv3_1/fivek/expert3/52.png,/home/iacv3_1/fivek/expert4/52.png
0054,person(s),sun or sky,outdoors,day,Canon EOS 40D F/5.0 1/400 ISO100 10.1MP,/home/iacv3_1/fivek/original/53.png,/home/iacv3_1/fivek/expert0/53.png,/home/iacv3_1/fivek/expert1/53.png,/home/iacv3_1/fivek/expert2/53.png,/home/iacv3_1/fivek/expert3/53.png,/home/iacv3_1/fivek/expert4/53.png
0055,person(s),artificial,indoors,unknown,Canon EOS-1D Mark II F/2.5 1/60 ISO800 8.2MP,/home/iacv3_1/fivek/original/54.png,/home/iacv3_1/fivek/expert0/54.png,/home/iacv3_1/fivek/expert1/54.png,/home/iacv3_1/fivek/expert2/54.png,/home/iacv3_1/fivek/expert3/54.png,/home/iacv3_1/fivek/expert4/54.png
0056,animal(s),sun or sky,outdoors,day,Canon EOS-1Ds Mark II F/5.6 1/100 ISO100 16.6MP,/home/iacv3_1/fivek/original/55.png,/home/iacv3_1/fivek/expert0/55.png,/home/iacv3_1/fivek/expert1/55.png,/home/iacv3_1/fivek/expert2/55.png,/home/iacv3_1/fivek/expert3/55.png,/home/iacv3_1/fivek/expert4/55.png
0057,person(s),sun or sky,outdoors,day,Canon EOS 20D F/8.0 1/500 ISO200 8.2MP,/home/iacv3_1/fivek/original/56.png,/home/iacv3_1/fivek/expert0/56.png,/home/iacv3_1/fivek/expert1/56.png,/home/iacv3_1/fivek/expert2/56.png,/home/iacv3_1/fivek/expert3/56.png,/home/iacv3_1/fivek/expert4/56.png
0058,man-made object,sun or sky,outdoors,dawn or dusk,Canon EOS 40D F/2.8 1/60 ISO160 10.1MP,/home/iacv3_1/fivek/original/57.png,/home/iacv3_1/fivek/expert0/57.png,/home/iacv3_1/fivek/expert1/57.png,/home/iacv3_1/fivek/expert2/57.png,/home/iacv3_1/fivek/expert3/57.png,/home/iacv3_1/fivek/expert4/57.png
0059,unknown,mixed,unknown,unknown,Canon EOS-1D Mark II F/1.2 1/320 ISO400 8.2MP,/home/iacv3_1/fivek/original/58.png,/home/iacv3_1/fivek/expert0/58.png,/home/iacv3_1/fivek/expert1/58.png,/home/iacv3_1/fivek/expert2/58.png,/home/iacv3_1/fivek/expert3/58.png,/home/iacv3_1/fivek/expert4/58.png
0060,person(s),sun or sky,outdoors,day,NIKON D70 36mm F/7.1 1/200 ISO200 6.0MP,/home/iacv3_1/fivek/original/59.png,/home/iacv3_1/fivek/expert0/59.png,/home/iacv3_1/fivek/expert1/59.png,/home/iacv3_1/fivek/expert2/59.png,/home/iacv3_1/fivek/expert3/59.png,/home/iacv3_1/fivek/expert4/59.png
0061,man-made object,artificial,indoors,unknown,Canon EOS 30D F/8.0 1/250 ISO100 8.2MP,/home/iacv3_1/fivek/original/60.png,/home/iacv3_1/fivek/expert0/60.png,/home/iacv3_1/fivek/expert1/60.png,/home/iacv3_1/fivek/expert2/60.png,/home/iacv3_1/fivek/expert3/60.png,/home/iacv3_1/fivek/expert4/60.png
0062,unknown,mixed,outdoors,dawn or dusk,Canon PowerShot S70 F/5.3 1/30 ISO100 7.1MP,/home/iacv3_1/fivek/original/61.png,/home/iacv3_1/fivek/expert0/61.png,/home/iacv3_1/fivek/expert1/61.png,/home/iacv3_1/fivek/expert2/61.png,/home/iacv3_1/fivek/expert3/61.png,/home/iacv3_1/fivek/expert4/61.png
0063,nature,sun or sky,unknown,unknown,Canon EOS DIGITAL REBEL XSi F/5.6 1/200 ISO100 12.2MP,/home/iacv3_1/fivek/original/62.png,/home/iacv3_1/fivek/expert0/62.png,/home/iacv3_1/fivek/expert1/62.png,/home/iacv3_1/fivek/expert2/62.png,/home/iacv3_1/fivek/expert3/62.png,/home/iacv3_1/fivek/expert4/62.png
0064,person(s),artificial,indoors,unknown,NIKON D700 20mm F/14.0 1/8 ISO200 12.1MP,/home/iacv3_1/fivek/original/63.png,/home/iacv3_1/fivek/expert0/63.png,/home/iacv3_1/fivek/expert1/63.png,/home/iacv3_1/fivek/expert2/63.png,/home/iacv3_1/fivek/expert3/63.png,/home/iacv3_1/fivek/expert4/63.png
0065,nature,sun or sky,outdoors,day,NIKON D700 50mm F/16.0 1/15 ISO200 12.1MP,/home/iacv3_1/fivek/original/64.png,/home/iacv3_1/fivek/expert0/64.png,/home/iacv3_1/fivek/expert1/64.png,/home/iacv3_1/fivek/expert2/64.png,/home/iacv3_1/fivek/expert3/64.png,/home/iacv3_1/fivek/expert4/64.png
0066,unknown,mixed,unknown,unknown,D-LUX 3 F/5.6 1/500 ISO200 8.5MP,/home/iacv3_1/fivek/original/65.png,/home/iacv3_1/fivek/expert0/65.png,/home/iacv3_1/fivek/expert1/65.png,/home/iacv3_1/fivek/expert2/65.png,/home/iacv3_1/fivek/expert3/65.png,/home/iacv3_1/fivek/expert4/65.png
0067,person(s),sun or sky,outdoors,day,Canon EOS 20D F/6.3 1/160 ISO100 8.2MP,/home/iacv3_1/fivek/original/66.png,/home/iacv3_1/fivek/expert0/66.png,/home/iacv3_1/fivek/expert1/66.png,/home/iacv3_1/fivek/expert2/66.png,/home/iacv3_1/fivek/expert3/66.png,/home/iacv3_1/fivek/expert4/66.png
0068,man-made object,sun or sky,outdoors,day,Canon EOS-1Ds Mark II F/4.0 1/160 ISO640 16.6MP,/home/iacv3_1/fivek/original/67.png,/home/iacv3_1/fivek/expert0/67.png,/home/iacv3_1/fivek/expert1/67.png,/home/iacv3_1/fivek/expert2/67.png,/home/iacv3_1/fivek/expert3/67.png,/home/iacv3_1/fivek/expert4/67.png
0069,animal(s),sun or sky,outdoors,day,Canon EOS 20D F/5.6 1/125 ISO100 8.2MP,/home/iacv3_1/fivek/original/68.png,/home/iacv3_1/fivek/expert0/68.png,/home/iacv3_1/fivek/expert1/68.png,/home/iacv3_1/fivek/expert2/68.png,/home/iacv3_1/fivek/expert3/68.png,/home/iacv3_1/fivek/expert4/68.png
0070,man-made object,sun or sky,outdoors,day,Canon EOS DIGITAL REBEL XSi F/11.0 1/60 ISO200 12.2MP,/home/iacv3_1/fivek/original/69.png,/home/iacv3_1/fivek/expert0/69.png,/home/iacv3_1/fivek/expert1/69.png,/home/iacv3_1/fivek/expert2/69.png,/home/iacv3_1/fivek/expert3/69.png,/home/iacv3_1/fivek/expert4/69.png
0071,man-made object,sun or sky,outdoors,day,Canon PowerShot G10 F/7.1 1/500 ISO80 14.6MP,/home/iacv3_1/fivek/original/70.png,/home/iacv3_1/fivek/expert0/70.png,/home/iacv3_1/fivek/expert1/70.png,/home/iacv3_1/fivek/expert2/70.png,/home/iacv3_1/fivek/expert3/70.png,/home/iacv3_1/fivek/expert4/70.png
0072,man-made object,artificial,indoors,day,Canon EOS DIGITAL REBEL XTi F/5.6 1/200 ISO800 10.1MP,/home/iacv3_1/fivek/original/71.png,/home/iacv3_1/fivek/expert0/71.png,/home/iacv3_1/fivek/expert1/71.png,/home/iacv3_1/fivek/expert2/71.png,/home/iacv3_1/fivek/expert3/71.png,/home/iacv3_1/fivek/expert4/71.png
0073,man-made object,mixed,indoors,unknown,Canon EOS DIGITAL REBEL XSi F/2.8 1/40 ISO1600 12.2MP,/home/iacv3_1/fivek/original/72.png,/home/iacv3_1/fivek/expert0/72.png,/home/iacv3_1/fivek/expert1/72.png,/home/iacv3_1/fivek/expert2/72.png,/home/iacv3_1/fivek/expert3/72.png,/home/iacv3_1/fivek/expert4/72.png
0074,man-made object,sun or sky,outdoors,day,Canon EOS 10D F/16.0 1/500 ISO1600 6.3MP,/home/iacv3_1/fivek/original/73.png,/home/iacv3_1/fivek/expert0/73.png,/home/iacv3_1/fivek/expert1/73.png,/home/iacv3_1/fivek/expert2/73.png,/home/iacv3_1/fivek/expert3/73.png,/home/iacv3_1/fivek/expert4/73.png
0075,man-made object,sun or sky,outdoors,day,Canon EOS 30D F/8.0 1/80 ISO100 8.2MP,/home/iacv3_1/fivek/original/74.png,/home/iacv3_1/fivek/expert0/74.png,/home/iacv3_1/fivek/expert1/74.png,/home/iacv3_1/fivek/expert2/74.png,/home/iacv3_1/fivek/expert3/74.png,/home/iacv3_1/fivek/expert4/74.png
0076,nature,sun or sky,outdoors,day,Canon EOS 5D F/9.0 1/160 ISO400 12.7MP,/home/iacv3_1/fivek/original/75.png,/home/iacv3_1/fivek/expert0/75.png,/home/iacv3_1/fivek/expert1/75.png,/home/iacv3_1/fivek/expert2/75.png,/home/iacv3_1/fivek/expert3/75.png,/home/iacv3_1/fivek/expert4/75.png
